# N            ILS            IBS            ITS            IJS            IFS            RBS            RTS            
10             0.000176       0.000101       0.000126       0.000117       0.000130       0.000670       0.000342       
1120           0.005017       0.000253       0.000215       0.000254       0.000428       0.000560       0.000329       
2230           0.009938       0.000240       0.000279       0.000325       0.000619       0.000376       0.000429       
3340           0.014928       0.000242       0.000251       0.000487       0.000575       0.001724       0.000292       
4450           0.015912       0.000260       0.000236       0.000444       0.000601       0.000334       0.000317       
5560           0.019729       0.000259       0.000238       0.000338       0.000473       0.000333       0.000353       
6670           0.023659       0.000255       0.000251       0.000468       0.000577       0.001094       0.000342       
7780           0.027567       0.000283       0.000251       0.000529       0.000508       0.000332       0.000331       
8890           0.031490       0.000278       0.000255       0.000397       0.000535       0.000312       0.000341       
10000          0.035407       0.000268       0.000262       0.000416       0.000521       0.000073       0.000085       
