# N        ILS        IBS        ITS        IJS        IFS        RBS        RTS        
100        0.000582   0.000153   0.000145   0.000115   0.000205   0.000455   0.000716   
1200       0.005528   0.000250   0.000183   0.000197   0.000378   0.000316   0.000309   
2300       0.010321   0.000264   0.000180   0.000238   0.000407   0.000282   0.000316   
3400       0.015173   0.000273   0.000199   0.000271   0.000417   0.000533   0.000274   
4500       0.015846   0.000256   0.000197   0.000303   0.000447   0.000497   0.000300   
5600       0.019699   0.000250   0.000192   0.000328   0.000465   0.000426   0.000319   
6700       0.023789   0.000232   0.000183   0.000350   0.000521   0.000332   0.000250   
7800       0.027394   0.000234   0.000187   0.000369   0.000470   0.000297   0.000290   
8900       0.031247   0.000257   0.000183   0.000392   0.000492   0.000292   0.000278   
10000      0.035099   0.000248   0.000220   0.000408   0.000499   0.000063   0.000075   
